ubica_geo,per_med,uni_med,tasa_alf,ind_agu,ind_dre,ind_ele,ind_des_hum,per_doc,esc_edu,uni_eco,conapo
01001,2.063,0.059,99.3,0.991,0.988,0.996,0.899,10.879,1.01,32.045,5
01002,0.051,0.014,98.6,0.978,0.917,0.977,0.884,0.596,0.142,0.493,3
01003,0.131,0.018,98.6,0.981,0.985,0.991,0.901,0.707,0.14,1.492,4
01004,0.011,0.004,98.9,0.995,0.968,0.979,0.889,0.209,0.034,0.22,3
01005,0.052,0.01,98.9,0.983,0.981,0.987,0.898,1.179,0.165,2.567,5
01006,0.107,0.007,99,0.984,0.979,0.989,0.897,0.566,0.073,1.163,4
01007,0.147,0.013,99.1,0.985,0.966,0.99,0.886,0.646,0.101,1.54,4
01008,0.017,0.008,99.2,0.971,0.915,0.98,0.898,0.135,0.033,0.205,4
01009,0.015,0.006,98.7,0.991,0.958,0.986,0.895,0.295,0.061,0.314,3
01010,0.018,0.007,98.4,0.98,0.912,0.969,0.88,0.259,0.071,0.223,3
01011,0.016,0.004,98.9,0.992,0.991,0.994,0.904,0.403,0.063,0.726,4
02001,0.914,0.102,97.9,0.906,0.813,0.971,0.852,6.284,0.795,13.845,5
02002,1.555,0.093,99.4,0.98,0.921,0.992,0.877,12.583,1.197,22.564,5
02003,0.195,0.016,99.4,0.89,0.929,0.972,0.862,1.337,0.163,2.746,5
02004,1.9,0.085,99.4,0.973,0.972,0.992,0.876,16.821,1.616,38.494,5
02005,0.095,0.012,99.2,0.84,0.928,0.969,0.858,1.223,0.142,2.731,5
03001,0.201,0.03,98.8,0.964,0.842,0.977,0.872,1.059,0.151,2.936,4
03002,0.181,0.029,95.9,0.923,0.82,0.956,0.857,0.847,0.153,2.203,4
03003,0.801,0.049,99.3,0.951,0.965,0.98,0.889,3.634,0.403,9.171,5
03008,0.322,0.031,99.1,0.888,0.966,0.964,0.878,3.19,0.313,7.654,5
03009,0.038,0.005,99.1,0.919,0.915,0.905,0.859,0.23,0.037,0.84,5
04001,0.074,0.015,98.4,0.933,0.655,0.983,0.827,0.812,0.106,2.752,3
04002,1.022,0.045,99.1,0.986,0.957,0.99,0.887,4.009,0.363,11.234,5
04003,0.589,0.118,98.1,0.811,0.945,0.983,0.854,3.088,0.395,8.348,4
04004,0.133,0.037,97.6,0.891,0.803,0.975,0.843,1.207,0.212,2.733,3
