ubica_geo,tamloc_mediana,grado_marginacion,grado_marg,tam_mun,ubica_geo_int
01001,2,Muy bajo,5,2,1
01002,1.5,Bajo,4,1,2
01003,2,Bajo,4,2,3
01004,1.5,Bajo,4,1,4
01005,2,Muy bajo,5,2,5
01006,2,Muy bajo,5,2,6
01007,2,Bajo,4,2,7
01008,1.5,Bajo,4,1,8
01009,1.5,Bajo,4,1,9
01010,1.5,Bajo,4,1,10
01011,2,Muy bajo,5,2,11
02001,2.5,Muy bajo,5,2,12
02002,2.5,Muy bajo,5,2,13
02003,2,Muy bajo,5,2,14
02004,2.5,Muy bajo,5,2,15
02005,2,Muy bajo,5,2,16
03001,2,Bajo,4,2,17
03002,1.5,Bajo,4,1,18
03003,2,Muy bajo,5,2,19
03008,2.5,Muy bajo,5,2,20
03009,1.5,Muy bajo,5,1,21
04001,1.5,Medio,3,1,22
04002,2,Muy bajo,5,2,23
04003,2,Muy bajo,5,2,24
04004,2,Medio,3,2,25
04005,1.5,Medio,3,1,26
04006,1.5,Alto,2,1,27
04007,1.5,Alto,2,1,28
04008,1.5,Medio,3,1,29
04009,2,Medio,3,2,30
04010,1.5,Alto,2,1,31
04011,1.5,Alto,2,1,32
05001,1,Bajo,4,1,33
05002,3,Muy bajo,5,3,34
05003,2,Muy bajo,5,2,35
05004,1.5,Bajo,4,1,36
05005,1,Bajo,4,1,37
05006,2,Muy bajo,5,2,38
05007,1.5,Bajo,4,1,39
05008,1,Bajo,4,1,40
05009,2,Bajo,4,2,41
05010,2.5,Muy bajo,5,2,42
05011,1.5,Bajo,4,1,43
05012,1,Bajo,4,1,44
05013,1,Bajo,4,1,45
05014,1.5,Medio,3,1,46
05015,1,Medio,3,1,47
05016,1,Bajo,4,1,48
05017,2,Muy bajo,5,2,49
05018,3,Muy bajo,5,3,50
05019,1.5,Muy bajo,5,1,51
05020,2,Muy bajo,5,2,52
05021,1.5,Muy bajo,5,1,53
05022,2,Muy bajo,5,2,54
05023,1.5,Medio,3,1,55
05024,2,Bajo,4,2,56
05025,3,Muy bajo,5,3,57
05026,1,Bajo,4,1,58
05027,2.5,Muy bajo,5,2,59
05028,2,Muy bajo,5,2,60
05029,1,Muy bajo,5,1,61
05030,3,Muy bajo,5,3,62
05031,2,Muy bajo,5,2,63
05032,2,Muy bajo,5,2,64
05033,2,Bajo,4,2,65
05034,1.5,Bajo,4,1,66
05035,2,Muy bajo,5,2,67
05036,1.5,Medio,3,1,68
05037,1.5,Muy bajo,5,1,69
05038,1.5,Muy bajo,5,1,70
06001,2,Medio,3,2,71
06002,3,Muy bajo,5,3,72
06003,1.5,Bajo,4,1,73
06004,1.5,Bajo,4,1,74
06005,1.5,Muy bajo,5,1,75
06006,1.5,Medio,3,1,76
06007,2,Muy bajo,5,2,77
06008,1.5,Bajo,4,1,78
06009,2,Bajo,4,2,79
06010,3,Muy bajo,5,3,80
07001,1.5,Alto,2,1,81
07002,1.5,Alto,2,1,82
07003,1.5,Alto,2,1,83
07004,1.5,Muy alto,1,1,84
07005,1.5,Muy alto,1,1,85
07006,1.5,Alto,2,1,86
07007,1.5,Muy alto,1,1,87
07008,1.5,Alto,2,1,88
07009,2,Medio,3,2,89
07010,1,Muy alto,1,1,90
07011,1,Alto,2,1,91
07012,2,Alto,2,2,92
07013,1.5,Alto,2,1,93
07014,1.5,Muy alto,1,1,94
07015,2,Alto,2,2,95
07016,1.5,Medio,3,1,96
07017,2,Medio,3,2,97
07018,1.5,Alto,2,1,98
07019,2.5,Medio,3,2,99
07020,1.5,Alto,2,1,100
07021,1.5,Alto,2,1,101
07022,1,Muy alto,1,1,102
07023,1.5,Muy alto,1,1,103
07024,1.5,Muy alto,1,1,104
07025,1.5,Alto,2,1,105
07026,1.5,Muy alto,1,1,106
07027,2,Medio,3,2,107
07028,1.5,Alto,2,1,108
07029,1.5,Alto,2,1,109
07030,1.5,Alto,2,1,110
07031,1.5,Muy alto,1,1,111
07032,1.5,Alto,2,1,112
07033,1,Alto,2,1,113
07034,2,Alto,2,2,114
07035,1.5,Alto,2,1,115
07036,1,Alto,2,1,116
07037,1.5,Alto,2,1,117
07038,1,Alto,2,1,118
07039,1.5,Muy alto,1,1,119
07040,2,Alto,2,2,120
07041,1.5,Alto,2,1,121
07042,1.5,Alto,2,1,122
07043,1.5,Alto,2,1,123
07044,1.5,Alto,2,1,124
07045,1,Muy alto,1,1,125
07046,1.5,Alto,2,1,126
07047,1.5,Alto,2,1,127
07048,1.5,Medio,3,1,128
07049,1,Alto,2,1,129
07050,1,Alto,2,1,130
07051,2,Alto,2,2,131
07052,2,Muy alto,1,2,132
07053,1,Alto,2,1,133
07054,1.5,Alto,2,1,134
07055,1.5,Medio,3,1,135
07056,1,Muy alto,1,1,136
07057,2,Alto,2,2,137
07058,2,Muy alto,1,2,138
07059,2,Muy alto,1,2,139
07060,1.5,Muy alto,1,1,140
07061,2,Alto,2,2,141
07062,1.5,Alto,2,1,142
07063,1,Medio,3,1,143
07064,1.5,Muy alto,1,1,144
07065,2,Alto,2,2,145
07066,1.5,Muy alto,1,1,146
07067,1,Muy alto,1,1,147
07068,1.5,Alto,2,1,148
07069,2,Alto,2,2,149
07070,1,Alto,2,1,150
07071,1.5,Alto,2,1,151
07072,1.5,Alto,2,1,152
07073,1.5,Alto,2,1,153
07074,2,Bajo,4,2,154
07075,2,Muy alto,1,2,155
07076,1.5,Muy alto,1,1,156
07077,1.5,Muy alto,1,1,157
07078,3,Bajo,4,3,158
07079,1.5,Alto,2,1,159
07080,1.5,Muy alto,1,1,160
